Feature,Importance
violations,0.6036467
lag_1,0.27570602
lag_7_avg,0.019387146
day_of_week,0.012376257
lag_3_avg,0.010429267
parking_main_road,0.009201928
blocking_ratio,0.008268731
is_weekend,0.008206718
parking_near_signal,0.0066996496
double_parking,0.006654823
month,0.0054184757
parking_near_crossing,0.005060862
blocking_violations,0.0048589557
lag_blocking_avg,0.0047581675
parking_opposite,0.0043984526
day,0.0042827693
rush_hour_ratio,0.0035212364
peak_hour,0.0022765151
cluster_id,0.0016918596
cluster_blocking_ratio,0.0015468048
is_night_dominant,0.00084686157
is_weekend_dominant,0.00076190714
